Timestamp;Axis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Time
2024-05-21 15:18:36.829;X;Position;-50;-0.42;0.72;2.18;0.67
2024-05-21 15:18:37.447;X;Position;-25;-0.42;0.72;2.18;1.29
2024-05-21 15:18:37.741;X;Position;-10;-0.42;0.72;2.18;1.58
2024-05-21 15:18:38.143;X;Position;-5;-0.42;0.72;2.18;1.98
2024-05-21 15:18:38.528;X;Position;0;-0.42;0.72;2.18;2.37
2024-05-21 15:18:38.803;X;Position;5;-0.42;0.72;2.18;2.64
2024-05-21 15:18:39.065;X;Position;10;-0.42;0.72;2.18;2.9
2024-05-21 15:18:39.406;X;Position;25;-0.42;0.72;2.18;3.25
2024-05-21 15:18:39.690;X;Position;50;-0.42;0.72;2.18;3.53
2024-05-21 15:18:40.281;Y;Position;-30;-0.42;0.72;2.18;4.12
2024-05-21 15:18:40.700;Y;Position;-15;-0.42;0.72;2.18;4.54
2024-05-21 15:18:41.108;Y;Position;-5;-0.42;0.72;2.18;4.95
2024-05-21 15:18:41.415;Y;Position;0;-0.42;0.72;2.18;5.25
2024-05-21 15:18:41.784;Y;Position;5;-0.42;0.72;2.18;5.62
2024-05-21 15:18:42.077;Y;Position;15;-0.42;0.72;2.18;5.92
2024-05-21 15:18:42.398;Y;Position;30;-0.42;0.72;2.18;6.24
2024-05-21 15:18:42.942;Z;Position;-10;-0.42;0.72;2.18;6.78
2024-05-21 15:18:43.322;Z;Position;-5;-0.42;0.72;2.18;7.16
2024-05-21 15:18:43.771;Z;Position;0;-0.42;0.72;2.18;7.61
2024-05-21 15:18:44.675;Z;Position;5;-0.42;0.72;2.18;8.51
2024-05-21 15:18:45.089;Z;Position;10;-0.42;0.72;2.18;8.93
2024-05-21 15:18:45.541;X;Rotation;-80;-0.42;0.72;2.18;9.38
2024-05-21 15:18:46.634;X;Rotation;0;-0.42;0.72;2.18;10.47
2024-05-21 15:18:47.131;X;Rotation;80;-0.42;0.72;2.18;10.97
2024-05-21 15:18:47.846;Z;Rotation;-15;-0.42;0.72;2.18;11.69
2024-05-21 15:18:48.212;Z;Rotation;0;-0.42;0.72;2.18;12.05
2024-05-21 15:18:48.710;Z;Rotation;15;-0.42;0.72;2.18;12.55
2024-05-21 15:18:49.141;Z;Rotation;-15;-0.42;0.72;2.18;12.98
2024-05-21 15:18:49.518;Z;Rotation;0;-0.42;0.72;2.18;13.36
2024-05-21 15:18:50.115;Z;Rotation;15;-0.42;0.72;2.18;13.95
