MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;0;0;0;0;0;180;1.36
X;Position;-25;-19.1;0;0;0;0;180;4.75
X;Position;-10;-19.1;0;0;0;0;180;5.08
X;Position;-5;17;0;0;0;0;180;6.64
X;Position;0;17;0;23.6;0;0;180;8.07
X;Position;5;-14.4;0;23.6;0;0;180;9.68
X;Position;10;-14.4;0;-9.7;0;0;180;11.26
X;Position;25;-14.4;0;-9.7;0;0;180;11.84
X;Position;50;-14.4;0;-9.7;0;0;180;12.3
Y;Position;-30;-14.4;0;59.2;0;0;180;15.57
Y;Position;-15;31;0;1.7;0;0;180;20.42
Y;Position;-5;31;-20.2;1.7;0;0;180;23.15
Y;Position;0;-23.1;-20.2;1.7;0;0;180;25.19
Y;Position;5;-23.1;-20.2;74;0;0;180;26.81
Y;Position;15;-23.1;-20.2;74;0;0;180;28.13
Y;Position;30;-23.1;-20.2;74;0;0;165.41;31.16
Z;Position;-10;-23.1;-20.2;74;0;0;251.17;32.55
Z;Position;-5;-23.1;8.8;22;0;0;251.17;39.51
Z;Position;0;-23.1;8.8;22;0;0;251.17;39.9
Z;Position;5;-23.1;8.8;22;0;0;251.17;40.45
Z;Position;10;-23.1;8.8;22;0;0;251.17;41.07
X;Rotation;-80;-23.1;8.8;22;0;0;121.24;49.2
X;Rotation;0;-23.1;8.8;22;0;0;232.32;50.96
X;Rotation;80;-23.1;8.8;22;305.76;84.11;143.52;53.29
Z;Rotation;-15;-23.1;8.8;22;305.76;84.11;143.52;53.82
Z;Rotation;0;-23.1;8.8;22;305.76;84.11;143.52;54.11
Z;Rotation;15;-23.1;8.8;22;305.76;84.11;143.52;54.54
