SceneName;GyroQuaternion_W;GyroQuaternion_X;GyroQuaternion_Y;GyroQuaternion_Z;Flex Thumb;Flex Index;Flex Middle;HandPoz_X;HandPoz_Y;HandPoz_Z;HandRot_X;HandRot_Y;HandRot_Z;ThumbRot_Z;IndexRot_X;MiddleRot_X;Hand Condition;Time;Timestamp
SceneName;?>*......>......1.00;0.00;0.00;0.00;650;643;624;-0.7058;2.302422;0.01919999;0;0;0;350;59.99999;59.99999;Normal;0;0
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;0;0;0;0;0;0;Normal;0.02;0.02
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.3333333;0.3533334
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.09979469;0.453128
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.02555791;0.4786859
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.0170376;0.4957235
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.02501631;0.5207399
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.0173955;0.5381353
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.01902866;0.557164
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.01996875;0.5771328
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.02088356;0.5980163
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.01912624;0.6171426
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.01943141;0.636574
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.0204919;0.6570659
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.02133214;0.678398
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.01693004;0.6953281
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.0198766;0.7152047
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.02911466;0.7443193
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005846918;0.7501662
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005588233;0.7557545
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005330145;0.7610846
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.005262613;0.7663472
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005160093;0.7715073
SceneName;1.00;0.00;0.00;0.00;649;642;622;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005021632;0.776529
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.84212;Normal;0.005207717;0.7817367
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.00540036;0.787137
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.005069315;0.7922063
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004906118;0.7971125
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005052269;0.8021647
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.004912794;0.8070775
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.004732132;0.8118097
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.0046767;0.8164864
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005046666;0.821533
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.005057096;0.8265901
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.00479871;0.8313888
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.00465101;0.8360398
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.004681706;0.8407215
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004696488;0.845418
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004574597;0.8499926
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004349232;0.8543419
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004977763;0.8593196
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.004434705;0.8637543
SceneName;1.00;0.00;0.00;0.00;650;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.005460918;0.8692153
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;354.0909;38.44118;52.28948;Normal;0.004577518;0.8737928
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.00492996;0.8787227
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.00448823;0.883211
SceneName;1.00;0.00;0.00;0.00;649;643;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;39.05883;52.28948;Normal;0.004809499;0.8880205
SceneName;1.00;0.00;0.00;0.00;649;642;623;-0.7058;2.302422;0.01919999;65.18579;141.9237;144.5834;353.8182;38.44118;52.28948;Normal;0.004526258;0.8925467
