MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;47.81;-4.2;-17.86;0;90;0;24.37
X;Position;-30;28.63;-3.6;-37.5;0;90;0;37.32
X;Position;-10;9.73;-2.1;-48.21;0;90;0;52.18
X;Position;10;-12.74;-3;-37.5;0;90;0;75.22
X;Position;30;-31.37;-3.6;-33.93;0;90;0;106.81
X;Position;50;-46.44;-12.3;-73.21;0;90;0;329.95
Y;Position;-30;-2.88;-17.1;-26.79;0;90;0;362.29
Y;Position;-20;-2.6;-7.2;-26.79;0;90;0;367.47
Y;Position;-10;-2.88;3.3;-33.93;0;90;0;370.19
Y;Position;10;-2.6;12;-26.79;0;90;0;373.81
Y;Position;20;-2.6;12;-26.79;0;90;0;375.83
Y;Position;30;-3.42;43.8;-35.71;0;90;0;401.5
Z;Position;10;-6.44;36.3;-92.86;0;90;0;409.27
Z;Position;20;-6.44;36.3;-92.86;0;90;0;409.41
Z;Position;30;-6.44;36.3;-92.86;0;90;0;409.52
X;Rotation;-90;-6.44;36.3;-92.86;0;90;0;409.62
X;Rotation;0;-6.44;36.3;-92.86;0;90;0;409.7
X;Rotation;90;-6.44;36.3;-92.86;0;90;0;409.8
Y;Rotation;-30;-6.44;36.3;-92.86;0;90;0;409.9
Y;Rotation;0;-6.44;36.3;-92.86;0;90;0;409.99
Y;Rotation;30;-6.44;36.3;-92.86;0;90;0;410.09
Z;Rotation;-80;-6.44;36.3;-92.86;0;90;0;410.22
Z;Rotation;0;-6.44;36.3;-92.86;0;90;0;410.32
Z;Rotation;80;-6.44;36.3;-92.86;0;90;0;410.41
Z;Rotation;-80;-6.44;36.3;-92.86;0;90;0;410.51
Z;Rotation;0;-6.44;36.3;-92.86;0;90;0;410.62
Z;Rotation;80;-6.44;36.3;-92.86;0;90;0;410.84
