MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;-32.19;-43.2;-25;0;90;0;35.07
X;Position;-30;-32.47;-43.8;-92.86;0;90;0;35.25
X;Position;-10;-32.47;-43.5;-35.71;0;90;0;35.47
X;Position;10;-32.47;-43.5;-35.71;0;90;0;35.62
X;Position;30;-32.47;-43.5;-35.71;0;90;0;35.91
X;Position;50;-32.47;-43.5;-35.71;0;90;0;36.07
Y;Position;-30;-32.47;-43.5;-35.71;0;90;0;36.44
Y;Position;-20;-32.47;-43.5;-35.71;0;90;0;36.6
Y;Position;-10;-32.47;-43.5;-35.71;0;90;0;36.94
Y;Position;10;-32.47;-43.5;-35.71;0;90;0;37.28
Y;Position;20;-32.47;-43.5;-35.71;0;90;0;37.67
Y;Position;30;-32.47;-43.5;-35.71;0;90;0;38.32
Z;Position;10;-44.25;-48;-5.36;0;90;0;65.86
Z;Position;30;-54.38;-51;39.29;0;90;0;73.51
Z;Position;50;-68.08;-46.5;60.71;0;90;0;85.07
X;Rotation;-90;-67.53;-45.6;55.36;0;90;0;86.34
X;Rotation;0;-67.81;-45.6;57.14;0;90;0;86.51
X;Rotation;90;-66.99;-46.2;58.93;0;90;0;86.69
Y;Rotation;-30;-66.16;-46.8;55.36;0;90;0;86.82
Y;Rotation;0;-65.62;-46.2;55.36;0;90;0;87.03
Y;Rotation;30;-65.34;-46.5;57.14;0;90;0;87.13
Z;Rotation;-80;-65.34;-45.3;53.57;0;90;0;87.34
Z;Rotation;0;-66.16;-45.3;50;0;90;0;87.69
Z;Rotation;80;-66.44;-45;46.43;0;90;0;87.84
Z;Rotation;-80;-66.44;-44.7;48.21;0;90;0;87.97
Z;Rotation;0;-66.71;-44.1;46.43;0;90;0;88.12
Z;Rotation;80;-66.99;-44.4;46.43;0;90;0;88.29
Z;Rotation;-80;-66.99;-44.4;46.43;0;90;0;88.46
Z;Rotation;0;-62.6;-46.5;41.07;0;90;0;88.75
Z;Rotation;80;-62.6;-46.5;41.07;0;90;0;88.98
Z;Rotation;-80;-62.6;-46.5;41.07;0;90;0;89.15
Z;Rotation;0;-62.6;-46.5;41.07;0;90;0;89.33
Z;Rotation;80;-62.6;-46.5;41.07;0;90;0;91.34
